4	0	0	1	0	45	90	45	90	0	90	1
3.6955	1.5307	0	1	0	49.2105	74.3001	45	112.5	22.5	90	1
2.8284	2.8284	0	1	0	60	60	45	135	45	90	1
1.5307	3.6955	0	1	0	74.3001	49.2105	45	157.5	67.5	90	1
0	4	0	1	0	90	45	45	180	90	90	1
-1.5307	3.6955	0	1	0	105.6999	49.2105	45	157.5	112.5	90	1
-2.8284	2.8284	0	1	0	120	60	45	135	135	90	1
-3.6955	1.5307	0	1	0	130.7895	74.3001	45	112.5	157.5	90	1
-4	0	0	1	0	135	90	45	90	180	90	1
-3.6955	-1.5307	0	1	0	130.7895	105.6999	45	67.5	202.5	90	1
-2.8284	-2.8284	0	1	0	120	120	45	45	225	90	1
-1.5307	-3.6955	0	1	0	105.6999	130.7895	45	22.5	247.5	90	1
0	-4	0	1	0	90	135	45	0	270	90	1
1.5307	-3.6955	0	1	0	74.3001	130.7895	45	-22.5	292.5	90	1
2.8284	-2.8284	0	1	0	60	120	45	-45	315	90	1
3.6955	-1.5307	0	1	0	49.2105	105.6999	45	-67.5	337.5	90	1
